#star designation,planet designation,proper name
HD 45350,,Lucilinburhuc
HD 45350,b,Peitruss
HD 153950,,Rapeto
HD 153950,b,Trimobe
HD 20868,,Intan
HD 20868,b,Baiduri
HAT-P-34,,Sansuna
HAT-P-34,b,Ġgantija
WASP-72,,Diya
WASP-72,b,Cuptor
HD 224693,,Axólotl
HD 224693,b,Xólotl
WASP-161,,Tislit
WASP-161,b,Isli
HD 7199,,Emiw
HD 7199,b,Hairu
HD 18742,,Ayeyarwady
HD 18742,b,Bagan
HD 100777,,Sagarmatha
HD 100777,b,Laligurans
HAT-P-6,,Sterrennacht
HAT-P-6,b,Nachtwacht
HD 137388,,Karaka
HD 137388,b,Kererū
HD 4208,,Cocibolca
HD 4208,b,Xolotlan
HD 43197,,Amadioha
HD 43197,b,Equiano
HD 68988,,Násti
HD 68988,b,Albmi
HAT-P-23,,Shama
HAT-P-23,b,Perwana
HD 99109,,Moriah
HD 99109,b,Jebus
WASP-79,,Montuno
WASP-79,b,Pollera
HD 108147,,Tupã
HD 108147,b,Tumearandu
HD 156411,,Inquill
HD 156411,b,Sumajmajta
WASP-34,,Amansinaya
WASP-34,b,Haik
HD 102117,,Uklun
HD 102117,b,Leklsullun
BD+14 4559,,Solaris
BD+14 4559,b,Pirx
HD 45652,,Lusitânia
HD 45652,b,Viriato
HIP 12961,,Koeia
HIP 12961,b,Aumatex
XO-1,,Moldoveanu
XO-1,b,Negoiu
HAT-P-3,,Dombay
HAT-P-3,b,Teberda
HD 181342,,Belel
HD 181342,b,Dopere
WASP-60,,Morava
WASP-60,b,Vlasina
WASP-32,,Parumleo
WASP-32,b,Viculus
HAT-P-5,,Chasoň
HAT-P-5,b,Kráľomoc
WASP-38,,Irena
WASP-38,b,Iztok
WASP-62,,Naledi
WASP-62,b,Krotoa
8 UMi,,Baekdu
8 UMi,b,Halla
HD 149143,,Rosalíadecastro
HD 149143,b,Riosar
HD 205739,,Sāmaya
HD 205739,b,Samagiya
HD 102956,,Aniara
HD 102956,b,Isagel
HD 130322,,Mönch
HD 130322,b,Eiger
HD 218566,,Ebla
HD 218566,b,Ugarit
WASP-71,,Mpingo
WASP-71,b,Tanzanite
WASP-50,,Chaophraya
WASP-50,b,Maeping
WASP-64,,Atakoraka
WASP-64,b,Agouto
HD 96063,,Dingolay
HD 96063,b,Ramajay
HD 192699,,Chechia
HD 192699,b,Khomsa
WASP-52,,Anadolu
WASP-52,b,Göktürk
HAT-P-15,,Berehinya
HAT-P-15,b,Tryzub
HIP 79431,,Sharjah
HIP 79431,b,Barajeel
WASP-13,,Gloas
WASP-13,b,Cruinlagh
HD 17156,,Nushagak
HD 17156,b,Mulchatna
HD 63454,,Ceibo
HD 63454,b,Ibirapitá
HD 85390,,Natasha
HD 85390,b,Madalitso
