  2738327528519591936|1
  2341871673090078592|2
  2881742980523997824|3
  4973386040722654336|4
  2305974989264598272|5
  2740326852975975040|6
  2846308881856186240|7
  2853169937491828608|8
  2880160886370458368|9
  4976500987226833024|10
   387133547311154432|11
  2308086876223750656|12
  2340148424835415552|13
  2449930576356314880|14
   394029134492039424|15
  4923847578691749120|16
  2306077724882156928|17
  2447815287783063040|18
  2880594231390895104|19
  2848390257367536384|20
  2746745664420425344|21
  4977625894998735872|22
  2767134252131256448|23
  2339755869120492800|24
  2420820593694180992|26
  2305871596516150656|27
  4994867439910791552|28
  4977679594971842688|29
   384317728096888576|30
  2739891068414238464|31
   395612534315211520|32
  2422810915898660096|33
  2853571774632882560|34
  2417681762874391936|35
  2766909298924361600|36
  4990275089079986688|37
  4635422588982399616|38
  2415631586005559680|39
   528563384392653312|40
   420335603020825856|41
  2853260230588911488|42
   423196566637503232|43
  2448142358132819456|44
  2334989520573815040|46
  4922510057156118400|47
  2305958908907032832|48
  2772507531095941760|49
  2738323714588656512|51
  4684100992400711680|52
  2332924362858929792|53
  2773776608032665856|54
  2738198645140961920|56
  4703237305087371392|57
   429915991435184000|58
   420521729725089408|59
  4901114316793904384|60
   396279594274966400|61
  4991415248278223232|62
   386569051169184384|63
  2333346403525698944|64
  4923860051276772608|65
  4701758461948318848|66
  2848395067729986688|67
  2772904695310603520|68
  2873312200239661568|69
  2880169888622006272|70
  2880169682463575936|71
  2421123474787861120|72
   528457144085699712|73
  2877050883371424768|74
  4976572425418091520|75
  2874232697630440192|76
  2320850144638182912|77
  2773771350992697088|78
  2875525482786674432|79
  2421632411232274688|80
  2444686180769411840|81
  2422590876133951872|82
   395705266946909184|83
  2854774262396590080|84
  2336600717425196544|85
   530682310803123200|86
  2442882255849262592|87
  4977699562277892864|88
   396162015250168704|89
  4995978049734140672|90
  2442881882188346112|91
  2341541579083239168|92
  2546019543207725440|93
  2313534814604497024|94
  2421627154192307200|95
  2767387380324493184|96
  2341364385912675072|97
  4972346933514848896|98
   429338816550168960|99
  2798248094734245888|100
  4989996981357824640|101
  4996004266214604544|102
  4706561712853534208|103
  2314354023782633216|104
   531236434604083840|105
   393907157421124864|106
  4976574143405173504|107
  4702978060861316224|108
  2745434874761797632|109
  2875223323248241920|111
  2414870586520243584|112
   393458694112926080|113
  4904492944227490944|115
  2313056630125964544|116
  4689727021601326592|117
  2428948114926672128|118
   385037946868124032|119
  4991422429463504640|120
  2854933622863316224|121
  4684097178470252032|122
   531422664385011584|123
